,channel,pedestal,pedestal_error,sigma,sigma_error
0,0,1690.7529393920297,0.021235921367165546,2.5893125900560263,0.015768205664828165
1,1,1691.0133944942372,0.021133657914379406,2.579895958971688,0.01570503219796685
2,2,1715.242327102698,0.01883460501536548,2.2674451199681602,0.014324242304586707
3,3,1735.808736730818,0.021024868468916415,2.5314754465666227,0.01568250772584186
4,4,1681.807331208649,0.021298979191178062,2.545321941815129,0.016083345905036798
5,5,1715.385882834198,0.018264989392356695,2.165094211403593,0.013750459266738627
6,6,1699.1714069223983,0.023620906442946083,2.7781618557002274,0.017944186063410292
7,7,1717.99705229101,0.022439744684315782,2.6223439177059094,0.016884240065029896
8,8,1688.8274623703094,0.02379560450339672,2.7588831353213945,0.01791980746343681
9,9,1726.889003259646,0.02483487735395616,2.8396598551026857,0.018502877698674196
10,10,1708.7815088937225,0.023540197284999384,2.652398638152829,0.017674468708458027
11,11,1693.0219501983343,0.023683799069287553,2.585414333882861,0.01865998481387282
12,12,1715.6489985929777,0.024649686723866346,2.716554728647399,0.018526939095121996
13,13,1722.0996446696918,0.023144824563681866,2.4849127668915676,0.017808827021478818
14,14,1670.5005635054804,0.023586682736471038,2.548611947009159,0.01780258973126999
15,15,1726.8657393698916,0.028412096595061633,3.087397225756934,0.021500303642588252
16,16,1708.9702868064126,0.02452338087902756,2.6321946336242013,0.018447846748387297
17,17,1703.5875785280407,0.023006687526867842,2.5128543342059366,0.01712747695481309
18,18,1707.2619273509563,0.024243486983026395,2.676736535725465,0.01816975713534509
19,19,1688.4956568933765,0.021334158838650284,2.3757026175431744,0.01598109947514798
20,20,1707.9538221459215,0.02180391133111276,2.4340567753101365,0.016563699788805168
21,21,1718.712155488958,0.02496910129821261,2.872947900122487,0.018698826519536024
22,22,1722.5702549579757,0.023023927876325453,2.665214178916635,0.017294499912130543
23,23,1713.8490017669926,0.02238207845866832,2.6238041839346735,0.0167748366643052
24,24,1692.7541265388309,0.020634084927146367,2.451768098189518,0.015472566670992397
25,25,1670.1795707829676,0.021486458184321173,2.5657573145086636,0.01621958706703061
26,26,1725.7577005602957,0.01969104591670131,2.351763373896938,0.014970825562919725
27,27,1696.4525981757993,0.01835871582132127,2.210659698270583,0.01388796748768782
28,28,1706.6766977682976,0.019485864766267715,2.354946567287846,0.014849276953011446
29,29,1709.514286334681,0.022034736232753895,2.6980077654999337,0.016557881617737753
30,30,1708.0524782821844,0.020448713486355186,2.4699157078154252,0.015897560095722334
31,31,1686.9045729360967,0.02136857003765069,2.5592248368302997,0.01669539914733771
32,32,1711.825929367149,0.02134187365269263,2.6277601435023645,0.016092208109453995
33,33,1687.5222060803483,0.020171706803198318,2.4700719588336533,0.015097783259777835
34,34,1710.3827770130313,0.01854089229338716,2.239581717978864,0.014072364374103648
35,35,1655.8170434868598,0.021568287244260922,2.6195138141874454,0.016157676035276902
36,36,1694.8295545296396,0.02130055851960871,2.567560082166921,0.015779642501045785
37,37,1675.142161313322,0.023042330967548583,2.767018913112346,0.017256340794516784
38,38,1693.682939846711,0.022932211289427695,2.7246595198754697,0.017259833024125676
39,39,1671.6797144878853,0.02346552851034099,2.747082132037181,0.017809305863429405
40,40,1692.18836763913,0.022677118976237736,2.6421135509234834,0.01715907124255955
41,41,1668.4125789881036,0.022884865067394383,2.4081576825912205,0.020843141591842848
42,42,1682.9463946183173,0.02078153324231633,2.368383020624976,0.015477122122475795
43,43,1691.701309034942,0.02248715110428753,2.570252086136301,0.01671216374511126
44,44,1688.9284271261129,0.020873517246976163,2.338244582295034,0.015859480399775364
45,45,1679.3262053503022,0.02020777471929007,2.2551242370121867,0.015313095696854455
46,46,1687.916625838101,0.022843194409770493,2.5644830331295854,0.01723037782795788
47,47,1688.2393981094083,0.020148885917808994,2.2433640374655814,0.01514532352747606
48,48,1675.1802955887335,0.021515836662757155,2.3984885934029587,0.016484789247949338
49,49,1678.8053927124763,0.022947547439030325,2.5760147892421488,0.017167064858597647
50,50,1678.7431028884967,0.02341883775257684,2.61147984205737,0.017537547386760322
51,51,1673.7825810283477,0.02346910642166615,2.6317856681582845,0.01776364885732931
52,52,1685.2151042040118,0.021668305849540593,2.4447638743160867,0.01630669611119078
53,53,1696.7662400341585,0.0237126150104043,2.6903193549454154,0.017902324686428595
54,54,1693.9759780862687,0.020728056477966276,2.3572606266709144,0.015558527053614376
55,55,1691.039597880745,0.022114361615037312,2.521634289662545,0.016974617197411113
56,56,1687.4676167675796,0.02214517093781694,2.5775892474001143,0.01665473406335236
57,57,1690.4804142515686,0.01922981714271364,2.1335461213471523,0.015723249918923116
58,58,1690.0025186386126,0.020395618819480356,2.378418072438605,0.015337031101602368
59,59,1652.8537085786622,0.020578739759726218,2.405981733078732,0.01580549368897292
60,60,1688.9383679129135,0.02134818411319301,2.5339517248649486,0.015811651384643275
61,61,1704.9814493885456,0.019558641995037516,2.3220526128634247,0.01467718748203746
62,62,1671.4864292369557,0.01995171973159637,2.3881960629630856,0.015044584894572617
63,63,1696.7853172214627,0.02221085735667957,2.6901770210582003,0.01666310829352446
64,64,1689.4558990804078,0.022442382078764075,2.7497661628684433,0.016700269557397562
65,65,1644.206829992157,0.021160048363824895,2.585677258063334,0.015365419109799975
66,66,1656.3623533791704,0.02436026769341985,2.9654656124245746,0.01819441832501031
67,67,1652.676405555488,0.02346581686171796,2.825099065947322,0.01758383802847628
68,68,1692.3123931854175,0.02280762851711935,2.736353493954189,0.01695957781765766
69,69,1687.4814680805396,0.025170730069856997,2.9250844311862694,0.019381463769128436
70,70,1640.2210662520536,0.02306175904771943,2.712043494452253,0.01720101824022967
71,71,1617.2171038762647,0.021628009604764853,2.5306668478631313,0.015780889777205973
72,72,1628.3686058988671,0.02314437030995958,2.665107887867754,0.017194344731485085
