Name,Size,Cube,Position,Asic,Channel
CALOg_A,6,1,1,2,2
CALOg_A,3,1,23,2,3
CALOg_A,1,1,45,2,4
CALOg_A,6,2,1,2,5
CALOg_A,3,2,23,2,6
CALOg_A,1,2,45,2,7
CALOg_A,6,3,1,2,8
CALOg_A,3,3,23,2,9
CALOg_A,1,3,45,2,10
CALOg_A,6,4,1,2,11
CALOg_A,3,4,23,2,12
CALOg_A,1,4,45,2,13
CALOg_B,6,5,1,2,14
CALOg_B,3,5,23,2,15
CALOg_B,1,5,45,2,16
CALOg_B,6,6,1,2,17
CALOg_B,3,6,23,2,18
CALOg_B,1,6,45,2,19
CALOg_B,6,7,1,2,20
CALOg_B,3,7,23,2,21
CALOg_B,1,7,45,2,22
CALOg_B,6,8,1,2,23
CALOg_B,3,8,23,2,24
CALOg_B,1,8,45,2,25
